Index,Original_Row_Index,TITLE,COMPANY,COMPANY_URL,JOB_DESCRIPTION,REQUIREMENT,LOCATION,SALARY,URL,Data source,Posted_Date,Retrieved_Date,Application_Type
1,0,"Associate, Group Reporting",Animoca Brands Limited,https://hk.indeed.com/cmp/Animoca-Brands-Limited,"Animoca Brands Corporation Limited (ACN: 122 921 813) is a Web3 leader that leverages tokenization and blockchain to deliver digital property rights to consumers, helping to establish the open metaverse and its associated network effects. The company operates through three integrated business pillars: operating Web3 businesses with native projects such as Moca Network, Anichess, The Sandbox, Open Campus, NEOM Web3 initiatives, and a regulated stablecoin project in partnership with Standard Chartered and HKT; providing digital asset advisory services including tokenomics advisory, liquidity provisioning, and institutional research; and investment management with a portfolio of over 540 companies including Pudgy Penguins, Yuga Labs, Axie Infinity, Polygon, Consensys, Magic Eden, OpenSea, Dapper Labs, and YGG. Responsibilities include assisting in monthly and annual group reporting, preparing consolidation schedules, validating financial data from subsidiaries, maintaining reporting templates and systems, performing variance analysis, supporting audits, and participating in process improvements.","Bachelor’s degree in Accounting, Finance, or related discipline. 1–3 years of relevant experience in accounting, audit, or financial reporting (group reporting or consolidation experience is an advantage). Strong understanding of accounting principles and basic knowledge of consolidation concepts. Proficient in Microsoft Excel; experience with financial consolidation or ERP systems (e.g., NetSuite) is a plus. Detail-oriented, organized, able to meet deadlines in a fast-paced environment. Strong analytical and problem-solving skills with a willingness to learn. Good communication skills and ability to collaborate within a regional or global finance team.",HK,Not specified,https://jobs.lever.co/animocabrands/434,Not specified,Not specified,Not specified,Not specified
2,1,Clinic Assistant / Receptionist,The Central Helaht Center Limited,https://hk.indeed.com/cmp/The-Central-Helaht-Center-Limited,"Responsible for client bookings, enquiries and reception duties; handle patient enquiries via phone calls; manage customer feedback; perform ad-hoc projects; on-the-job training provided.",At least two years’ receptionist experience; excellent client service and phone etiquette; strong communication and interpersonal skills; detail-oriented and team player; good command of spoken English and Chinese; immediate availability preferred.,"Central, HKI, HK","$15,000.00 - $20,000.00 per month",https://hk.indeed.com/viewjob?jk=6f01a1e4c036c44c,indeed,10/11/2025,Not specified,Email resume to joyce@tchc.hk or apply via WhatsApp 97220558
3,2,IT Practice Lead - FinOps,Cathay Pacific,https://www.cathaypacific.com,"The IT Practice Lead - FinOps is responsible for driving financial operations excellence within the organization, focusing on optimizing cloud financial management practices, ensuring cost efficiency, and maximizing the value of cloud investments. This role involves developing FinOps methodologies, providing coaching and training, aligning with other IT practices, and overseeing talent development programs.","Minimum 6 years of hands-on experience in the relevant practice and at least 10 years of overall IT experience; degree in Computer Science, Information Systems or related field; strong understanding of FinOps principles, cloud cost management, and financial forecasting; experience with AWS, Azure, AliCloud, Google Cloud Platform; proven coaching and training skills; strong leadership, analytical, and communication abilities.","Hong Kong, HK",Not specified,https://hk.indeed.com/viewjob?jk=e3ba579d1a0a2729,indeed,10/11/2025,Not specified,Not specified
4,3,Solution Analyst Technical (ABAP) (Contract until 31 Aug 2027),Cathay Pacific,https://www.cathaypacific.com,"This role is part of the Solution Centre in the Information Technology (IMT) department, focusing on continuous improvements to deliver seamless digital experiences. As a Solution Analyst, you will translate business requirements into functional and technical specifications, working closely with stakeholders to drive end-to-end solution development for software applications. You will support the Finance solution team in systems that enable financial operations for Cathay Pacific. Key responsibilities include analyzing system solutions, supporting design, documenting specifications, hands-on technical development, incident support, vendor oversight, QA, and adherence to development standards.","Bachelor’s degree in Computer Science, Computer Engineering, or related field; minimum 6 years of IT experience in SAP ABAP Development (including S4 HANA, SAP BW, SAP Integration Suite); hands-on experience with ABAP, Fiori, Workflow, OData services, CDS views; SAP BTP and Restful ABAP Programming (RAP) experience is an advantage; knowledge of clean core principles and side-by-side extensions with BTP; proven SAP implementation and upgrade experience; familiarity with Agile and Scrum methodologies; strong analytical, problem-solving, communication, and interpersonal skills.","Hong Kong, HK",Not specified,https://careers.cathaypacific.com/en/careers/jobs/hong-kong/solution-analyst-technical-abap-contract-until-31-aug-2027-28902,indeed,10/11/2025,Not specified,Online application via career portal
5,4,Solution Analyst - Engineering (24-month contract),Cathay Pacific,https://www.cathaypacific.com,"As part of the Solution Centre in the Information Technology (IMT) department, you will work with stakeholders to map business and system requirements into functional and technical specifications for software development. You will support solution design, contribute to development projects, oversee vendors, conduct quality assurance, and help deliver high-quality applications aligned with business goals.","Degree in Information Technology or related field; minimum 6 years in IT, with at least 3 years in application development and support; experience with enterprise systems and system integration; familiarity with AI and cloud projects is an advantage; strong analytical and problem-solving skills; experience in agile environments; proficiency in English and Cantonese; hands-on experience with Microsoft tools.","Hong Kong, HK",Not specified,https://hk.indeed.com/viewjob?jk=f1aec85d4dba3890,indeed,10/11/2025,Not specified,Not specified
6,5,Head of Provider Management - HK & China,The Cigna Group,https://www.thecignagroup.com/,"This leadership role drives the execution of Cigna’s global network strategy, customizing it for the HK/China region. The position leads a high-performing team responsible for strategic contracting with healthcare providers and third-party administrators (TPAs), ensuring access, affordability, and value-based care for Cigna’s customers. As a member of the APAC senior leadership team, the lead will shape HK/China strategy, oversee complex negotiations, and champion cost control and value creation across the provider network, in addition to presenting and coordinating all provider segment affairs in HK/China. Key responsibilities include developing and refining provider network strategies, leading high-stakes negotiations, designing innovative contracting models, managing key vendor relationships, mentoring a team, collaborating across functions, ensuring compliance, evaluating network performance, driving digital transformation, and presenting strategic insights to senior leadership.","Bachelor’s degree required; master’s degree in business, healthcare administration, or related field strongly preferred. Minimum 10 years’ experience in international healthcare provider contracting with expertise in negotiation, cost control, and value-based care in the HK/China region. Proven success in complex contract negotiations and implementing innovative contracting solutions. Advanced knowledge of healthcare reimbursement, legal, and regulatory frameworks. Strong strategic, communication, and leadership skills. Must be proficient in English, Cantonese, and Mandarin. Willingness to travel internationally required.","Kwun Tong, KOW, HK",Not specified,https://jobs.thecignagroup.com/us/en/job/CIGNUS25015365EXTERNALENUS/Head-of-Provider-Management-HK-China?utm_source=indeed&utm_medium=phenom-feeds,indeed,10,Not specified,Not specified
7,6,Assistant Manager (Information Technology) – Cybersecurity,Mandatory Provident Fund Schemes Authority,https://www.mpfa.org.hk/en,"Develop, maintain, and enforce cybersecurity policies, guidelines, and procedures; conduct security risk assessments, audits, vulnerability assessments, and penetration tests; monitor and respond to cybersecurity threats; implement and manage cybersecurity tools (M365 security, firewalls, WAF, IDPS, EDR, NDR, VPN, PAM, SIEM, etc.); collaborate with teams to integrate security controls; lead cybersecurity projects; deliver security awareness training; stay updated on cybersecurity trends and compliance; perform vendor management; coordinate with internal and external stakeholders; assist in budget preparation; and perform other duties as assigned.","Recognized degree in Computer Science or IT; at least six years of hands-on experience in large-scale IT infrastructure or cybersecurity; experience in network and security domains including firewalls, WAF, IDPS, DLP, EDR, NDR, PAM, SIEM, web application security, and compliance with standards like NIST, ISO 27001, GDPR; professional certifications (e.g., CISSP, CISM, CEH, CCNA, cloud platforms) are advantageous; strong communication, problem-solving, and analytical skills; customer-oriented, independent, flexible, and team player.","Kwai Chung, HK",Not specified,https://hk.indeed.com/viewjob?jk=2d329c8451080f17,indeed,10/11/2025,Not specified,Apply via online application on company website
8,7,"Manager, Securities Trading and Risk Management, Securities Department",CMB Wing Lung Bank Limited,https://hk.indeed.com/cmp/Cmb-Wing-Lung-Bank-Limited,"Monitor securities margin levels, perform margin calls, and execute forced liquidations to manage risk exposure. Track US stock market triggers such as circuit breakers and mid-day trading halts to control financing risks. Report system or data anomalies promptly. Process trading instructions and fund transfers via hotline. Execute trades on the US OTC market and handle pre-market trading. Respond to customer inquiries on securities services, fees, and promotions. Address urgent issues like system failures. Maintain client relationships, support high-net-worth clients, and collaborate with PB/PWM Relationship Managers.","Degree in economics, finance, or related field. At least 5 years of relevant experience. Experience in securities business support and trading required; night shifts required. Familiarity with HKMA, SFC, and Hong Kong Stock Exchange regulations. Applicants may be subject to the Mandatory Reference Checking Scheme (MRC Scheme).",HK,Not specified,https://hk.indeed.com/viewjob?jk=5b29f82dc28d77a2,indeed,10/11/2025,Not specified,Not specified
9,8,"Assistant Vice President, Fund Services (Asset Custody Department)",CMB Wing Lung Bank Limited,https://hk.indeed.com/cmp/Cmb-Wing-Lung-Bank-Limited,"Perform daily fund valuation and NAV calculation; maintain fund operations information accurately including subscription/redemption, holdings, reconciliations, fees and expenses; handle client reporting and inquiries; liaise with auditors on fund audits; participate in system enhancement testing; contribute to custodian business development projects.","Bachelor’s degree in Business Administration, Finance, Accounting or related field; minimum 8 years’ experience in Investment/Fund Administration with strong knowledge of securities markets and fund accounting; ability to independently perform asset pricing, portfolio valuation, and NAV computation; familiarity with fund document terms; experience with fund accounting software is a plus; willingness to challenge status quo; ability to work in cross-functional teams; self-motivated, analytical, and able to work under pressure; proficient in Microsoft Office; fluent in English and Chinese (Cantonese and Putonghua); subject to Mandatory Reference Checking Scheme.",HK,Not specified,https://hk.indeed.com/viewjob?jk=7233cd2a10b9bf27,indeed,10/11/2025,Not specified,Not specified
10,9,Assistant Manager - CMB Wing Lung Asset Management,CMB Wing Lung Bank Limited,https://hk.indeed.com/cmp/Cmb-Wing-Lung-Bank-Limited,"Assist the Team Head in handling customer service matters, including processing Discretionary Portfolio Management account opening, arranging settlements, and placing transaction orders; maintain communication with internal and external investment institutions for efficient transaction execution; assist in developing and managing portfolio products to meet clients' asset management objectives; support client relationship development and provide customized asset allocation services; perform KYC, deal execution, and documentation.","Bachelor's degree or above in Finance, Accounting, or Business-related fields; strong interest in asset management and willingness to learn; self-motivated with good communication and interpersonal skills; proficient in Microsoft Excel, Word, and PowerPoint; fluent in English and Mandarin; applicants may be subject to the Mandatory Reference Checking Scheme (MRC Scheme) by HKMA.",HK,Not specified,https://hk.indeed.com/viewjob?jk=646fc1fd7039838d,indeed,10/11/2025,Not specified,Not specified
